分类,藏品名称,藏品价值,生命值,护盾值,生命回复,护盾回复,物理强度,能量强度,物理抗性,能量抗性,物理抗性穿透,能量抗性穿透,能量值,能量回复,物理暴击伤害,能量暴击伤害,能量暴击率,物理暴击率,移动速度,置换,置换数量,置换成功率,合成,合成数量,合成成功率
十二周年银币,[银白] 十二周年银币,750,250,250,10,10,100,100,,,20,20,,,,,,,,,,,,,
十二周年银币,[翠绿] 十二周年银币,1500,500,500,20,20,150,150,,,,,,1,,,,,,,,,[银白] 十二周年银币,5,100.00%
十二周年银币,[湛蓝] 十二周年银币,3000,988,988,40,40,200,200,,,75,75,,,,,,,,,,,[翠绿] 十二周年银币,5,100.00%
十二周年银币,[梦紫] 十二周年银币,6000,1888,1888,,,300,300,175,175,,,,,,2.5,,,,,,,[湛蓝] 十二周年银币,5,100.00%
十二周年银币,[赤橙] 十二周年银币,12000,2888,2888,288,288,588,588,,,150,150,,1,,,,,,,,,[梦紫] 十二周年银币,5,100.00%
十二周年银币,[血玉] 十二周年银币,24000,9888,9888,488,488,788,788,300,300,,,,,,3.5,,,,,,,[赤橙] 十二周年银币,5,100.00%
十二周年银币,[暗金] 十二周年银币,48000,18888,18888,988,988,1788,1788,,,300,300,,,,,0.5,,,,,,[血玉] 十二周年银币,5,100.00%
十二周年银币,[隐藏] 十二周年银币,24000,28888,28888,1888,1888,3088,3088,600,600,,,,,,,1.0,,,,,,[暗金] 十二周年银币,5,100.00%
十二周年金币,[银白] 十二周年金币,3750,500,500,20,20,200,200,,,40,40,,,,,,,,,,,,,
十二周年金币,[翠绿] 十二周年金币,7500,1000,1000,40,40,300,300,,,,,,1,,,,,,,,,[银白] 十二周年金币,8,100.00%
十二周年金币,[湛蓝] 十二周年金币,15000,1888,1888,80,80,400,400,,,150,150,,,,,,,,,,,[翠绿] 十二周年金币,6,100.00%
十二周年金币,[梦紫] 十二周年金币,30000,3888,3888,,,600,600,350,350,,,,,,5.0,,,,,,,[湛蓝] 十二周年金币,6,100.00%
十二周年金币,[赤橙] 十二周年金币,60000,5888,,588,588,1088,1088,,,300,300,,1,,,,,,,,,[梦紫] 十二周年金币,6,100.00%
十二周年金币,[血玉] 十二周年金币,120000,18888,18888,888,888,1588,1588,600,600,,,,,,7.0,,,,,,,[赤橙] 十二周年金币,6,100.00%
十二周年金币,[暗金] 十二周年金币,240000,38888,38888,1888,1888,3588,3588,,,600,600,,,,,1.0,,,,,,,,
十二周年金币,[隐藏] 十二周年金币,500000,68888,68888,3888,3888,6888,6888,600,600,650,650,,2,,10.0,1.0,,,,,,,,
关卡缔造者之证,关卡缔造者之证,240000,28888,28888,1888,1888,3088,3088,600,600,,,,,,,1.0,,,,,,关卡缔造者碎片,100,100.00%
战斗缔造者之证,战斗缔造者之证,240000,28888,28888,1888,1888,3088,3088,600,600,,,,,,,1.0,,,,,,战斗缔造者碎片,100,100.00%
游戏缔造者之证,游戏缔造者之证,500000,68888,68888,3888,3888,6888,6888,600,600,650,650,,2,,10.0,1.0,,,,,,游戏缔造者碎片,100,100.00%
薪火纪念币S,薪火纪念币S3·壹,20000,15000,,,,,,,,,,,,,,,,,,,,,,
薪火纪念币S,薪火纪念币S3·贰,20000,,15000,,,,,,,,,,,,,,,,,,,,,
薪火纪念币S,薪火纪念币S3·叁,20000,,,,,,,,,,,,,,,,1.0,,,,,,,
薪火纪念币S,薪火纪念币S3·肆,20000,,,,,,,,,,,,,,,1.0,,,,,,,,
深空争霸第一轮纪念币,深空争霸第一轮纪念币1,888,,,,,375,375,,,,,,,,,,,,,,,,,
深空争霸第一轮纪念币,深空争霸第一轮纪念币2,888,,,,,300,300,,,,,,,,,,,,,,,,,
深空争霸第一轮纪念币,深空争霸第一轮纪念币3,888,,,,,250,250,,,,,,,,,,,,,,,,,
深空争霸第一轮纪念币,深空争霸第一轮纪念币4,888,,,,,200,200,,,,,,,,,,,,,,,,,
深空争霸第一轮纪念币,深空争霸第一轮纪念币5,888,,,,,125,125,,,,,,,,,,,,,,,,,
深空争霸第一轮纪念币,深空争霸第一轮纪念币6,888,,,,,60,60,,,,,,,,,,,,,,,,,
深空争霸第二轮纪念币,深空争霸第二轮纪念币1,888,,,,,375,375,,,,,,,,,,,,,,,,,
深空争霸第二轮纪念币,深空争霸第二轮纪念币2,888,,,,,300,300,,,,,,,,,,,,,,,,,
深空争霸第二轮纪念币,深空争霸第二轮纪念币3,888,,,,,250,250,,,,,,,,,,,,,,,,,
深空争霸第二轮纪念币,深空争霸第二轮纪念币4,888,,,,,200,200,,,,,,,,,,,,,,,,,
深空争霸第二轮纪念币,深空争霸第二轮纪念币5,888,,,,,125,125,,,,,,,,,,,,,,,,,
深空争霸第二轮纪念币,深空争霸第二轮纪念币6,888,,,,,60,60,,,,,,,,,,,,,,,,,
深空争霸第三轮纪念币,深空争霸第三轮纪念币1,888,,,,,375,375,,,,,,,,,,,,,,,,,
深空争霸第三轮纪念币,深空争霸第三轮纪念币2,888,,,,,300,300,,,,,,,,,,,,,,,,,
深空争霸第三轮纪念币,深空争霸第三轮纪念币3,888,,,,,250,250,,,,,,,,,,,,,,,,,
深空争霸第三轮纪念币,深空争霸第三轮纪念币4,888,,,,,200,200,,,,,,,,,,,,,,,,,
深空争霸第三轮纪念币,深空争霸第三轮纪念币5,888,,,,,125,125,,,,,,,,,,,,,,,,,
深空争霸第三轮纪念币,深空争霸第三轮纪念币6,888,,,,,60,60,,,,,,,,,,,,,,,,,
深空争霸第0赛季纪念银币,深空争霸第0赛季纪念银币I,1000,6000,6000,,,,,,,,,,,,,,,,,,,,,
深空争霸第0赛季纪念银币,深空争霸第0赛季纪念银币II,1500,4500,4500,,,,,,,,,,,,,,,,,,,,,
深空争霸第0赛季纪念银币,深空争霸第0赛季纪念银币III,2000,3000,3000,,,,,,,,,,,,,,,,,,,,,
深空争霸第0赛季纪念银币,深空争霸第0赛季纪念银币IV,2500,2250,2250,,,,,,,,,,,,,,,,,,,,,
深空争霸第0赛季纪念银币,深空争霸第0赛季纪念银币V,3000,1600,1600,,,,,,,,,,,,,,,,,,,,,
深空争霸第0赛季纪念银币,深空争霸第0赛季纪念银币VI,3500,1200,1200,,,,,,,,,,,,,,,,,,,,,
深空争霸第0赛季纪念银币,深空争霸第0赛季纪念银币VII,4000,900,900,,,,,,,,,,,,,,,,,,,,,
深空争霸第0赛季纪念银币,深空争霸第0赛季纪念银币VIII,4500,675,675,,,,,,,,,,,,,,,,,,,,,
深空争霸第0赛季纪念银币,深空争霸第0赛季纪念银币IX,5000,500,500,,,,,,,,,,,,,,,,,,,,,
深空争霸第0赛季纪念金币,深空争霸第0赛季纪念金币I,3000,,,,,,,,,,,,,30.0,30.0,3.0,3.0,,,,,,,
深空争霸第0赛季纪念金币,深空争霸第0赛季纪念金币II,4000,,,,,,,,,,,,,23.0,23.0,2.0,2.0,,,,,,,
深空争霸第0赛季纪念金币,深空争霸第0赛季纪念金币III,5000,,,,,,,,,,,,,17.0,17.0,2.0,2.0,,,,,,,
深空争霸第0赛季纪念金币,深空争霸第0赛季纪念金币IV,6000,,,,,,,,,,,,,13.0,13.0,1.0,1.0,,,,,,,
深空争霸第0赛季纪念金币,深空争霸第0赛季纪念金币V,7000,,,,,,,,,,,,,9.0,9.0,1.0,1.0,,,,,,,
深空争霸第0赛季纪念金币,深空争霸第0赛季纪念金币VI,8000,,,,,,,,,,,,,7.0,7.0,1.0,1.0,,,,,,,
深空争霸第0赛季纪念金币,深空争霸第0赛季纪念金币VII,9000,,,,,,,,,,,,,5.0,5.0,1.0,1.0,,,,,,,
雪落白银纪念币,雪落白银纪念币I,1000,1088,,,,560,,,,,,,,,,,,,,,,,,
雪落白银纪念币,雪落白银纪念币II,1000,,1088,,,,560,,,,,,,,,,,,,,,,,
雪落白银纪念币,雪落白银纪念币III,1000,,,,,,,40,40,,,,,,,,,,,,,,,
雪落白银纪念币,套装属性,,4000,4000,,,600,600,,,30,30,,,,,,,,,,,,,
雪落黄金纪念币,雪落黄金纪念币I,3000,2000,1000,,,300,300,,,,,,,,,,,,,,,,,
雪落黄金纪念币,雪落黄金纪念币II,5000,8000,4000,,,820,820,,,,,,,,,,,,,,,,,
雪落黄金纪念币,雪落黄金纪念币III,10000,13200,4000,,,1320,1320,,,,,,,,,,,,,,,,,
雪落黄金纪念币,雪落黄金纪念币IV,30000,,,,,4000,4000,,,,,,1,,,,,,,,,,,
雪落黄金纪念币,套装属性,,20000,20000,100,100,,,80,80,80,80,,,,,,,,,,,,,
薪火纪念币S,薪火纪念币S4·壹,20000,15000,,,,,,,,,,,,,,,,,,,,,,
薪火纪念币S,薪火纪念币S4·贰,20000,,15000,,,,,,,,,,,,,,,,,,,,,
薪火纪念币S,薪火纪念币S4·叁,20000,,,,,,,,,,,,,5.0,,,,,,,,,,
薪火纪念币S,薪火纪念币S4·肆,20000,,,,,,,,,,,,,,5.0,,,,,,,,,
新岁白银纪念币,新岁白银纪念币I,1000,1080,,,,560,,,,,,,,,,,,,,,,,,
新岁白银纪念币,新岁白银纪念币II,1000,,1080,,,,560,,,,,,,,,,,,,,,,,
新岁白银纪念币,新岁白银纪念币III,1000,,,,,,,40,40,,,,,,,,,,,,,,,
新岁白银纪念币,套装属性,,4000,4000,,,600,600,,,30,30,,,,,,,,,,,,,
新岁黄金纪念币,新岁黄金纪念币I,3000,2000,1000,,,300,300,,,,,,,,,,,,,,,,,
新岁黄金纪念币,新岁黄金纪念币II,5000,8000,4000,,,820,820,,,,,,,,,,,,,,,,,
新岁黄金纪念币,新岁黄金纪念币III,10000,13200,4000,,,1320,1320,,,,,,,,,,,,,,,,,
新岁黄金纪念币,新岁黄金纪念币IV,30000,,,,,4000,4000,,,,,,1,,,,,,,,,,,
新岁黄金纪念币,套装属性,,20000,20000,100,100,,,80,80,80,80,,,,,,,,,,,,,
